start_node,end_node,weigth
116,53,0.022727272727272728
116,115,0.022727272727272728
116,116,0.09090909090909102
116,137,0.045454545454545456
116,159,0.06818181818181818
116,180,0.022727272727272728
116,181,0.11363636363636363
116,182,0.11363636363636363
116,202,0.022727272727272728
116,204,0.13636363636363635
116,221,0.022727272727272728
116,223,0.022727272727272728
116,224,0.022727272727272728
116,244,0.2727272727272727
117,117,0.1034482758620693
117,139,0.034482758620689655
117,159,0.10344827586206896
117,160,0.10344827586206896
117,180,0.06896551724137931
117,181,0.27586206896551724
117,182,0.034482758620689655
117,183,0.034482758620689655
117,201,0.06896551724137931
117,203,0.034482758620689655
117,204,0.034482758620689655
117,242,0.034482758620689655
117,244,0.034482758620689655
117,266,0.034482758620689655
136,135,0.01818181818181818
136,136,0.01818181818181818
136,137,0.01818181818181818
136,158,0.07272727272727272
136,159,0.12727272727272726
136,160,0.01818181818181818
136,177,0.10909090909090909
136,180,0.23636363636363636
136,181,0.03636363636363636
136,202,0.01818181818181818
136,203,0.01818181818181818
136,204,0.2545454545454545
136,221,0.01818181818181818
136,222,0.01818181818181818
136,244,0.01818181818181818
137,112,0.018518518518518517
137,114,0.018518518518518517
137,115,0.018518518518518517
137,116,0.018518518518518517
137,136,0.018518518518518517
137,139,0.037037037037037035
137,159,0.037037037037037035
137,160,0.037037037037037035
137,178,0.037037037037037035
137,180,0.05555555555555555
137,202,0.037037037037037035
137,203,0.018518518518518517
137,204,0.07407407407407407
137,223,0.3148148148148148
137,224,0.037037037037037035
137,240,0.037037037037037035
137,244,0.14814814814814814
137,286,0.037037037037037035
138,117,0.03571428571428571
138,138,0.10714285714285725
138,159,0.03571428571428571
138,160,0.07142857142857142
138,179,0.03571428571428571
138,180,0.03571428571428571
138,181,0.10714285714285714
138,199,0.03571428571428571
138,201,0.07142857142857142
138,204,0.07142857142857142
138,223,0.03571428571428571
138,224,0.07142857142857142
138,244,0.2857142857142857
139,117,0.03508771929824561
139,138,0.017543859649122806
139,139,0.03508771929824561
139,160,0.03508771929824561
139,161,0.017543859649122806
139,180,0.07017543859649122
139,181,0.15789473684210525
139,182,0.017543859649122806
139,183,0.017543859649122806
139,201,0.017543859649122806
139,202,0.08771929824561403
139,203,0.03508771929824561
139,204,0.2807017543859649
139,221,0.017543859649122806
139,224,0.017543859649122806
139,244,0.14035087719298245
140,140,0.025
140,158,0.025
140,160,0.075
140,161,0.075
140,179,0.025
140,180,0.1
140,181,0.075
140,182,0.1
140,201,0.025
140,202,0.025
140,204,0.275
140,222,0.025
140,223,0.05
140,244,0.1
154,117,0.16
154,154,0.12
154,155,0.04
154,161,0.04
154,179,0.08
154,181,0.04
154,199,0.04
154,220,0.24
154,221,0.12
154,266,0.12
155,138,0.0625
155,155,0.0625
155,159,0.0625
155,180,0.1875
155,197,0.375
155,204,0.125
155,222,0.0625
155,266,0.0625
156,155,0.33962264150943394
156,156,0.03773584905660377
156,160,0.018867924528301886
156,177,0.07547169811320754
156,182,0.03773584905660377
156,197,0.05660377358490566
156,201,0.20754716981132076
156,202,0.07547169811320754
156,203,0.018867924528301886
156,204,0.09433962264150944
156,222,0.03773584905660377
158,158,0.05263157894736853
158,159,0.10526315789473684
158,177,0.02631578947368421
158,178,0.10526315789473684
158,179,0.10526315789473684
158,180,0.15789473684210525
158,204,0.07894736842105263
158,205,0.02631578947368421
158,221,0.07894736842105263
158,222,0.02631578947368421
158,223,0.10526315789473684
158,240,0.02631578947368421
158,262,0.07894736842105263
158,307,0.02631578947368421
159,117,0.05
159,138,0.05
159,139,0.025
159,155,0.075
159,158,0.075
159,159,0.025
159,180,0.075
159,181,0.025
159,182,0.025
159,201,0.05
159,202,0.05
